Gravedad_Indicador_Tradicional,Dia_Semana_Acc,Localidad,Clase_Acc,Elemento_Choque,Con_Bicicleta,Con_Carga,Con_Embriaguez,Con_Huecos,Con_Menores,Con_Moto,Con_Peaton,Con_Persona_Mayor,Con_Rutas,Con_Tpi,Con_Tpp,Con_Velocidad,Con_Sitp,Con_Troncal,Con_Alimentador,Con_Zonal,Con_Provisional,Con_Articulado,Con_Biarticulado,Con_Padron_Dual,Con_Servicio_Especial,Con_Taxi
Con Heridos,domingo,ENGATIVÁ,Atropello,,,,,,SI,,SI,,,,,,,,,,,,,,,
Solo Daños,sábado,KENNEDY,Choque,Vehículo,,,,,,,,,,,,,,,,,,,,,,
Con Heridos,sábado,ANTONIO NARIÑO,Caida de ocupante,,,,,,SI,,,,,,SI,,SI,,,SI,,,,,,
Con Heridos,lunes,PUENTE ARANDA,Choque,Vehículo,SI,,,,,SI,,,,,,,,,,,,,,,,
Con Heridos,sábado,TUNJUELITO,Choque,Objeto Fijo,,,,,,SI,,,,,,,,,,,,,,,,
Solo Daños,jueves,SAN CRISTÓBAL,Choque,Objeto Fijo,,,,,,,,,,,,,,,,,,,,,,
Solo Daños,domingo,CANDELARIA,Choque,Vehículo,,,,,,,,,,SI,,,,,,,,,,,,SI
Solo Daños,jueves,KENNEDY,Choque,Vehículo,,SI,,,,,,,,,,,,,,,,,,,,
Con Heridos,miércoles,ENGATIVÁ,Choque,Objeto Fijo,,,,,,,,,,,,,,,,,,,,,,
Solo Daños,viernes,USAQUÉN,Choque,Vehículo,,,,,,,,SI,,,,,,,,,,,,,,
Con Heridos,miércoles,LOS MÁRTIRES,Volcamiento,,,,,SI,,SI,,,,,,,,,,,,,,,,
Solo Daños,domingo,CIUDAD BOLÍVAR,Choque,Vehículo,,,,,,,,,,SI,,,,,,,,,,,,SI
Solo Daños,viernes,TEUSAQUILLO,Choque,Vehículo,,,,,,,,,,SI,,,,,,,,,,,,SI
Solo Daños,sábado,FONTIBÓN,Choque,Semoviente,,SI,,,,,,,,,,,,,,,,,,,,
Con Heridos,miércoles,RAFAEL URIBE URIBE,Choque,Vehículo,,,,,,SI,,,,,,,,,,,,,,,,
Con Heridos,miércoles,USAQUÉN,Choque,Vehículo,,,,,,SI,,,,,,,,,,,,,,,,
Solo Daños,jueves,KENNEDY,Choque,Vehículo,,,,,,,,,,,SI,,,,,,,,,,,
Con Heridos,viernes,KENNEDY,Choque,Vehículo,,,,,,SI,,,,,,,,,,,,,,,,
Con Heridos,viernes,TEUSAQUILLO,Choque,Vehículo,,,,,,,,SI,,SI,SI,,SI,,SI,SI,,,,,,SI
Con Heridos,lunes,BARRIOS UNIDOS,Choque,Vehículo,,,,,,SI,,,,,,,,,,,,,,,,
Con Heridos,miércoles,CIUDAD BOLÍVAR,Choque,Vehículo,,,,,,SI,,,,,,,,,,,,,,,,
Solo Daños,viernes,PUENTE ARANDA,Choque,Vehículo,,,,,,,,,,,SI,,SI,,,SI,,,,,,
Con Heridos,lunes,PUENTE ARANDA,Atropello,,,,,,,,SI,,,,,,,,,,,,,,,
Solo Daños,miércoles,KENNEDY,Choque,Vehículo,,,,,,,,,,SI,,,,,,,,,,,,SI
Solo Daños,lunes,KENNEDY,Choque,Vehículo,,SI,,,,,,,,,,,,,,,,,,,,
Con Heridos,sábado,USAQUÉN,Choque,Vehículo,SI,,,,,,,,,,,,,,,,,,,,,
Con Heridos,sábado,ENGATIVÁ,Atropello,,,,,,,,SI,,,,,,,,,,,,,,,
Con Heridos,sábado,KENNEDY,Atropello,,,,,,,SI,SI,,,,,,,,,,,,,,,
Solo Daños,viernes,CHAPINERO,Choque,Vehículo,,,,,,,,,,,SI,,SI,,,SI,,,,,,
Con Heridos,miércoles,RAFAEL URIBE URIBE,Choque,Vehículo,,,,,,SI,,,,,,,,,,,,,,,,
Con Heridos,miércoles,SUBA,Choque,Vehículo,SI,,,,,,,,,,,,,,,,,,,,,
Con Heridos,viernes,KENNEDY,Choque,Vehículo,SI,,,,,,,,,SI,,,,,,,,,,,,SI
Solo Daños,miércoles,PUENTE ARANDA,Choque,Vehículo,,SI,,,,,,,,,,,,,,,,,,,,
Con Heridos,viernes,ENGATIVÁ,Choque,Vehículo,,,,,,SI,,SI,,,,,,,,,,,,,,
Solo Daños,jueves,USME,Choque,Vehículo,,,,,,SI,,,,,SI,,,,,,,,,,,
Con Heridos,sábado,CHAPINERO,Choque,Vehículo,,,,,,SI,,,,,,,,,,,,,,,,
Solo Daños,domingo,USAQUÉN,Choque,Vehículo,,,,,,,,,,,SI,,,,,,,,,,SI,
Con Heridos,lunes,ENGATIVÁ,Choque,Vehículo,,,,,,,,,,SI,SI,,,,,,,,,,,SI
Solo Daños,martes,KENNEDY,Choque,Vehículo,,SI,,,,,,,,,,,,,,,,,,,,
Solo Daños,martes,FONTIBÓN,Choque,Vehículo,,,,,,,,,,,SI,,,,,,,,,,,
Solo Daños,jueves,BARRIOS UNIDOS,Choque,Vehículo,,,,,,,,,,SI,,,,,,,,,,,,SI
Con Heridos,domingo,USME,Atropello,,SI,,,,SI,,SI,,,,,,,,,,,,,,,
Solo Daños,miércoles,USAQUÉN,Choque,Vehículo,,,,,,,,,,,SI,,SI,,,SI,,,,,,
Con Heridos,viernes,CIUDAD BOLÍVAR,Choque,Vehículo,SI,,,,,,,,,,,,,,,,,,,,,
Con Heridos,lunes,SUBA,Choque,Vehículo,,,,,,SI,,,,,,,,,,,,,,,,
Solo Daños,jueves,USAQUÉN,Choque,Vehículo,,SI,,,,,,,,,,,,,,,,,,,,
Solo Daños,viernes,CHAPINERO,Choque,Vehículo,,,,,,,,,,SI,SI,,,,,,,,,,,SI
Con Heridos,domingo,CIUDAD BOLÍVAR,Volcamiento,,,,,,,SI,,,,,,,,,,,,,,,,
Solo Daños,sábado,USAQUÉN,Choque,Vehículo,,,,,,SI,,,,,,,,,,,,,,,,
Solo Daños,viernes,USAQUÉN,Choque,Vehículo,,SI,,,,,,SI,,,,,,,,,,,,,,
Solo Daños,viernes,ENGATIVÁ,Choque,Vehículo,,,,,,,,SI,,,,,,,,,,,,,,
Con Heridos,martes,RAFAEL URIBE URIBE,Choque,Vehículo,SI,,,,,,,,,,,,,,,,,,,,,
Solo Daños,viernes,TEUSAQUILLO,Choque,Vehículo,,,,,,,,SI,,SI,SI,,,,,,,,,,,SI
Solo Daños,sábado,TEUSAQUILLO,Choque,Vehículo,,,SI,,,,,,,,,,,,,,,,,,,
Con Heridos,sábado,BARRIOS UNIDOS,Atropello,,,,,,,SI,SI,,,,,,,,,,,,,,,
Con Heridos,viernes,RAFAEL URIBE URIBE,Atropello,,SI,,,,SI,,SI,,,,,,,,,,,,,,,
Con Heridos,viernes,USAQUÉN,Atropello,,,,,,SI,,SI,,,,,,,,,,,,,,,
Solo Daños,domingo,ENGATIVÁ,Choque,Vehículo,,,,,,,,,,,SI,,,,,,,,,,SI,
Solo Daños,martes,ENGATIVÁ,Choque,Vehículo,,,,,,,,,,,,,,,,,,,,,,
Con Heridos,lunes,LOS MÁRTIRES,Atropello,,,,,,,SI,SI,,,,,,,,,,,,,,,
Solo Daños,jueves,BARRIOS UNIDOS,Choque,Vehículo,,,,,,,,,,,,,,,,,,,,,,
Solo Daños,jueves,CHAPINERO,Choque,Vehículo,,,,,,,,,,,SI,,SI,,,SI,,,,,,
Con Heridos,viernes,TEUSAQUILLO,Choque,Vehículo,,,,,,SI,,SI,,,,,,,,,,,,,,
Solo Daños,martes,BARRIOS UNIDOS,Choque,Vehículo,,SI,,,,,,,,,,,,,,,,,,,,
Solo Daños,sábado,KENNEDY,Choque,Vehículo,,,,,,,,SI,,,SI,,,,,,,,,,SI,
Solo Daños,miércoles,PUENTE ARANDA,Choque,Vehículo,,,,,,,,,,SI,,,,,,,,,,,,SI
Solo Daños,jueves,SAN CRISTÓBAL,Choque,Vehículo,,,,,,,,,,,,,,,,,,,,,,
Con Heridos,sábado,SANTA FE,Choque,Vehículo,SI,,,,,,,SI,,SI,,,,,,,,,,,,SI
Solo Daños,martes,LOS MÁRTIRES,Choque,Vehículo,,,,,,,,,,SI,,,,,,,,,,,,SI
Solo Daños,martes,BARRIOS UNIDOS,Choque,Vehículo,,,,,,SI,,,,SI,,,,,,,,,,,,SI
Solo Daños,miércoles,SAN CRISTÓBAL,Choque,Vehículo,,SI,,,,,,,,,SI,,SI,,,SI,,,,,,
Solo Daños,viernes,SAN CRISTÓBAL,Choque,Vehículo,,,,,,,,,,,,,,,,,,,,,,
Solo Daños,jueves,BARRIOS UNIDOS,Choque,Vehículo,,,,,,SI,,,,,,,,,,,,,,,,
Con Heridos,sábado,RAFAEL URIBE URIBE,Choque,Vehículo,,,,,,,,,,SI,,,,,,,,,,,,SI
Solo Daños,viernes,FONTIBÓN,Choque,Vehículo,,SI,,,,,,,,,,,,,,,,,,,,
Solo Daños,sábado,SUBA,Choque,Vehículo,,,,,SI,SI,,,,,,,,,,,,,,,,
Solo Daños,sábado,FONTIBÓN,Choque,Vehículo,,,,,,,,,,,SI,,SI,,,,SI,,,,,
Solo Daños,sábado,ENGATIVÁ,Choque,Vehículo,,,,,,,,,,,,,,,,,,,,,,
